gameTitle,Distrust,不信,
CREDITS_NAMES,<size=40><color=#00d4dcff>In Memory of Mikhail Zinovev</color></size>\n\n<size=40><color=#00d4dcff>Producers</color></size>\n<size=50><color=#ffffffff>Artem Bochkarev</color></size>\n<size=50><color=#ffffffff>Eugeniy Sister</color></size>\n\n<size=40><color=#00d4dcff>Art Producer</color></size>\n<size=50><color=#ffffffff>Stepan Komarov</color></size>\n\n<size=40><color=#00d4dcff>Game Designers</color></size>\n<size=50><color=#ffffffff>Vladimir Kovtun</color></size>\n<size=50><color=#ffffffff>Dmitriy Medyancev</color></size>\n\n<size=40><color=#00d4dcff>Project Manager</color></size>\n<size=50><color=#ffffffff>Stanislav Stepchenko</color></size>\n\n<size=40><color=#00d4dcff>Developers</color></size>\n<size=50><color=#ffffffff>Alexey Egorov</color></size>\n<size=50><color=#ffffffff>Artem Feoktistov</color></size>\n<size=50><color=#ffffffff>Maksim Bakirov</color></size>\n<size=50><color=#ffffffff>Timur Khismatullin</color></size>\n<size=50><color=#ffffffff>Ilya Bugrov</color></size>\n<size=50><color=#ffffffff>Vadim Ukolov</color></size>\n\n<size=40><color=#00d4dcff>Artists</color></size>\n<size=50><color=#ffffffff>Sergey Cherenkov</color></size>\n<size=50><color=#ffffffff>Anastasiya Subbotina</color></size>\n<size=50><color=#ffffffff>Irina Gamanova</color></size>\n\n<size=40><color=#00d4dcff>Animator & 3D Artist</color></size>\n<size=50><color=#ffffffff>Maria Pritchina</color></size>\n\n<size=40><color=#00d4dcff>QA & Content Management</color></size>\n<size=50><color=#ffffffff>Pavel Kugler</color></size>\n<size=50><color=#ffffffff>Ivan Khromov</color></size>\n<size=50><color=#ffffffff>Nikita Shachenko</color></size>\n\n<size=40><color=#00d4dcff>Special Thanks</color></size>\n<size=50><color=#ffffffff>Andrew Postnikov</color></size>\n<size=50><color=#ffffffff>Ilya Grabelnikov</color></size>\n<size=50><color=#ffffffff>Nadezda Zhuk</color></size>\n<size=50><color=#ffffffff>Eugeniy Kapustin</color></size>\n<size=50><color=#ffffffff>Yulia Mitrukova</color></size>\n<size=50><color=#ffffffff>Valeriy Davidov</color></size>\n<size=50><color=#ffffffff>Anna Kosik</color></size>\n<size=50><color=#ffffffff>Aleksandra Nespanova</color></size>\n<size=50><color=#ffffffff>Eugeniya Sharaborina</color></size>\n<size=50><color=#ffffffff>Marcello Brancaccio</color></size>\n<size=50><color=#ffffffff>H. Serhat \u00c7avunt</color></size>\n<size=50><color=#ffffffff>Emircan Ayy\u0131ld\u0131z</color></size>,<サイズ= 40> <色=＃00d4dcff>ミハイルZinovevのメモリに</カラー> </サイズ> \ n \ n <サイズ= 40> <色=＃00d4dcff>製作</カラー> </サイズ> \ nは<サイズ= 50> <色=＃FFFFFFFF>アルテムBochkarev </カラー> </サイズ> \ n <サイズ= 50> <色=＃FFFFFFFF> Eugeniyシスター</カラー> </サイズ> \ n \ n <サイズ= 40> <色=＃00d4dcff>アートプロデューサー</カラー> </サイズ> \ n <サイズ= 50> <色=＃FFFFFFFF>ステパンコマロフ</カラー> </サイズ> \ n \ n <サイズ= 40 > <色=＃00d4dcff>ゲームデザイナー</カラー> </サイズ> \ n <サイズ= 50> <色=＃FFFFFFFF>ウラジミールKovtun </カラー> </サイズ> \ n <サイズ= 50> <色= #FFFFFFFF>ドミトリMedyancev </カラー> </サイズ> \ n \ n <サイズ= 40> <色=＃00d4dcff>プロジェクトマネージャー</カラー> </サイズ> \ n <サイズ= 50> <色=＃1 FFFFFFFF >スタニスラフStepchenko </カラー> </サイズ> \ n \ n <サイズ= 40> <色=＃00d4dcff>開発</カラー> </サイズ> \ n <サイズ= 50> <色=＃FFFFFFFF>アレクセイEgorov </カラー> </サイズ> \ n <サイズ= 50> <色=＃FFFFFFFF>アルテムFeoktistov </カラー> </サイズ> \ n <サイズ= 50> <色=＃FFFFFFFF>マキシムBakirov </色> </サイズ> \ n <サイズ= 50> <色=＃FFFFFFFF>ティムールKhismatullin </カラー> </サイズ> \ n <サイズ= 50> <色=＃FFFFFFFF>イリヤBugrov </カラー> </サイズ> \ nは<SIZ E = 50> <色=＃FFFFFFFF>ディムUkolov </カラー> </サイズ> \ n \ n <サイズ= 40> <色=＃00d4dcff>アーティスト</カラー> </サイズ> \ n <サイズ= 50 > <色=＃FFFFFFFF>セルゲイチェレンコフ</カラー> </サイズ> \ n <サイズ= 50> <色=＃FFFFFFFF>アナスタシヤSubbotina </カラー> </サイズ> \ n <サイズ= 50> <色= #FFFFFFFF>イリーナGamanova </カラー> </サイズ> \ n \ n <サイズ= 40> <色=＃00d4dcff>アニメーター＆3Dアーティスト</カラー> </サイズ> \ n <サイズ= 50> <色= #FFFFFFFF>マリアPritchina </カラー> </サイズ> \ N \ N <サイズ= 40> <色=＃00d4dcff> QA＆コンテンツ管理</カラー> </サイズ> \ nは<サイズ= 50> <色= #FFFFFFFF>パベルクーグラー</カラー> </サイズ> \ n <サイズ= 50> <色=＃FFFFFFFF>イヴァンKhromov </カラー> </サイズ> \ n <サイズ= 50> <色=＃FFFFFFFF>ニキータShachenko </カラー> </サイズ> \ N \ N <サイズ= 40> <色=＃00d4dcff>スペシャルサンクス</カラー> </サイズ> \ nは<サイズ= 50> <色=＃FFFFFFFF>アンドリューPostnikov < /カラー> </サイズ> \ n <サイズ= 50> <色=＃FFFFFFFF>イリヤGrabelnikov </カラー> </サイズ> \ n <サイズ= 50> <色=＃FFFFFFFF> Nadezda Zhuk </色> < /サイズ> \ n <サイズ= 50> <色=＃FFFFFFFF> Eugeniy Kapustin </カラー> </サイズ> \ n <サイズ= 50> <色=＃FFFFFFFF>ユリアMitrukova </カラー> </サイズ> \ N <サイズ= 50> <色=＃FFFFFFFF>バレリーDavidov </カラー> </サイズ> \ n <サイズ= 50> <色=＃FFFFFFFF>アンナKosik </カラー> </サイズ> \ n <サイズ= 50> <色=＃ FFFFFFFF>アレクサンドラNespanova </カラー> </サイズ> \ n <サイズ= 50> <色=＃FFFFFFFF> Eugeniya Sharaborina </カラー> </サイズ> \ n <サイズ= 50> <色=＃FFFFFFFF>マルBrancaccio </カラー> </サイズ> \ n <サイズ= 50> <色=＃FFFFFFFF> H。 Serhat \ u00c7avunt </カラー> </サイズ> \ n <サイズ= 50> <色=＃FFFFFFFF> Emircan Ayy \ u0131ld \ u0131z </カラー> </サイズ>,
CONTINUE,\u30B3\u30F3\u30C6\u30A3\u30CB\u30E5\u30FC,\ u30B3 \ u30F3 \ u30C6 \ u30A3 \ u30CB \ u30E5 \ u30FC,
NEW GAME,\u30CB\u30E5\u30FC\u30B2\u30FC\u30E0,\ u30CB \ u30E5 \ u30FC \ u30B2 \ u30FC \ u30E0,
OPTION,\u30AA\u30D7\u30B7\u30E7\u30F3,\ u30AA \ u30D7 \ u30B7 \ u30E7 \ u30F3,
CREDITS,\u30AF\u30EC\u30B8\u30C3\u30C8,\ u30AF \ u30EC \ u30B8 \ u30C3 \ u30C8,
QUIT,\u7D42\u4E86,\ u7D42 \ u4E86,
log_startTask,{0}\u306F{1},{0} \ u306F {1},
log_gainLoot,\u7372\u5F97: {0} x{1},\ u7372 \ u5F97：{0}、X {1},
log_gainEffect_2,{0} \u306F {1} \u306B\u82E6\u3057\u3093\u3067\u3044\u307E\u3059,{0} \ u306F {1} \ u306B \ u82E6 \ u3057 \ u3093 \ u3067 \ u3044 \ u307E \ u3059,
log_heroDeath,{0} \u304C\u6B7B\u4EA1\u3057\u307E\u3057\u305F...,{0} \ u304C \ u6B7B \ u4EA1 \ u3057 \ u307E \ u3057 \ u305F ...,
